id,temp_ambiente,umidade,carga_termica,setpoint,temp_fria,erro,peltier_pwm,fan_pwm,potencia_estimada,modo_operacao,estavel,temp_fria_prox
1,,,,11.71,8.55,3.17,92.21,100.0,31.32,cooling,0,8.42
2,23.69,65.57,21.97,8.73,13.59,-4.85,37.33,54.91,11.9,heating,0,13.36
3,25.4,55.54,14.13,9.95,4.68,5.27,94.33,100.0,29.12,cooling,0,3.72
4,27.31,53.37,22.69,10.83,12.0,-1.17,49.2,66.6,19.31,hold,0,11.04
5,23.48,49.72,28.9,10.11,16.68,-6.57,37.33,54.91,13.95,heating,0,15.51
6,23.48,51.73,17.18,11.6,3.77,7.84,100.0,100.0,32.15,cooling,0,3.82
7,27.43,80.87,30.74,9.39,16.71,-7.32,40.32,56.73,17.01,heating,0,16.29
8,25.66,67.71,27.47,9.73,10.48,-0.74,68.26,86.23,22.46,hold,0,10.27
9,22.97,47.67,20.33,8.23,18.97,-10.74,37.33,54.91,10.15,heating,0,19.57
10,25.17,47.89,23.79,10.32,8.31,2.01,85.38,98.46,28.28,cooling,0,7.51
11,22.98,61.82,33.95,9.03,13.29,-4.26,48.78,60.38,12.45,heating,0,12.68
12,22.97,62.32,28.9,8.51,9.68,-1.17,64.35,80.83,21.21,hold,0,9.24
13,24.52,62.34,24.67,10.06,9.21,0.85,68.24,83.67,18.05,hold,0,8.85
14,19.82,56.13,23.23,10.01,12.24,-2.23,53.88,68.5,16.23,heating,0,12.8
15,20.23,57.13,25.07,8.18,14.62,-6.44,37.33,57.8,11.47,heating,0,15.14
16,22.76,60.63,21.63,10.68,-0.65,11.33,100.0,100.0,29.46,cooling,0,-0.87
17,21.78,58.76,12.33,10.38,22.29,-11.91,37.33,57.66,11.5,heating,0,22.63
18,24.68,40.97,36.55,8.63,-5.87,14.5,100.0,100.0,33.07,cooling,0,-6.35
19,22.01,56.33,25.53,9.76,4.17,5.58,99.84,100.0,29.52,cooling,0,3.68
20,20.91,51.53,26.95,10.77,9.22,1.54,64.17,78.63,21.34,hold,0,8.67
21,27.19,59.45,24.28,10.0,13.56,-3.56,53.53,71.41,15.13,heating,0,12.65
22,23.5,81.15,20.33,9.46,23.51,-14.05,37.33,54.91,11.82,heating,0,23.73
23,24.14,60.94,23.53,9.17,-5.86,15.02,100.0,100.0,31.65,cooling,0,-5.99
24,20.88,55.68,15.28,10.32,5.69,4.63,89.11,100.0,25.74,cooling,0,5.11
25,22.8,65.22,37.92,11.65,-8.15,19.8,100.0,100.0,28.38,cooling,0,-8.54
26,24.23,61.83,17.41,10.57,10.3,0.27,64.47,80.95,21.33,hold,0,9.18
27,21.48,61.34,18.59,8.17,12.35,-4.18,50.11,67.43,18.28,heating,0,11.55
28,24.81,62.78,22.05,9.72,23.63,-13.91,37.33,54.91,12.04,heating,0,23.45
29,22.68,73.98,32.14,11.45,11.06,0.39,73.73,86.61,22.2,hold,0,10.29
30,23.35,49.37,24.7,8.25,18.96,-10.71,37.33,54.91,12.51,heating,0,18.56
31,22.68,61.76,17.4,11.85,15.02,-3.18,47.47,59.89,15.35,heating,0,14.65
32,28.03,50.95,31.95,11.69,6.31,5.38,95.46,100.0,30.12,cooling,0,5.45
33,23.96,62.39,28.89,8.18,-2.02,10.2,100.0,100.0,25.94,cooling,0,-2.98
34,21.68,51.01,27.76,11.62,12.38,-0.76,64.7,80.76,18.27,hold,0,11.11
35,25.78,54.88,28.8,9.33,-2.73,12.06,100.0,100.0,29.31,cooling,0,-3.23
36,21.33,55.82,38.6,11.27,21.1,-9.84,37.33,54.91,12.5,heating,0,21.04
37,24.45,65.63,37.38,9.55,8.64,0.91,74.92,89.94,23.85,hold,0,7.39
38,19.72,65.19,20.61,9.64,20.25,-10.61,37.33,56.91,13.47,heating,0,19.85
39,21.09,48.48,34.1,10.42,5.92,4.5,100.0,100.0,31.52,cooling,0,5.37
40,24.42,58.52,26.86,10.98,12.33,-1.35,71.84,80.98,19.95,hold,0,11.36
41,25.6,52.62,27.53,8.01,11.82,-3.81,48.32,64.68,18.39,heating,0,12.32
42,24.36,48.38,14.74,10.25,9.64,0.61,65.79,80.46,23.28,hold,0,9.09
43,23.74,56.42,23.62,8.62,6.33,2.29,79.42,92.29,22.31,cooling,0,5.83
44,23.33,55.72,19.87,9.26,13.39,-4.12,44.64,61.6,15.06,heating,0,13.06
45,20.77,76.83,29.46,9.27,2.11,7.16,100.0,100.0,29.81,cooling,0,0.6
46,22.42,61.44,30.88,9.76,-0.31,10.07,100.0,100.0,31.28,cooling,0,-0.35
47,22.99,47.46,12.5,9.21,20.66,-11.44,37.33,54.91,14.31,heating,0,19.85
48,26.29,53.74,24.49,8.3,16.25,-7.95,37.33,59.28,16.46,heating,0,15.96
49,24.74,65.99,31.17,8.46,10.59,-2.14,58.81,75.56,20.14,heating,0,10.59
50,20.15,74.22,23.53,8.0,24.27,-16.26,37.33,54.91,12.79,heating,0,24.54
51,24.7,45.86,28.88,9.76,7.74,2.02,85.97,100.0,26.11,cooling,0,6.68
52,23.15,43.59,26.67,11.71,21.34,-9.63,37.33,54.91,12.56,heating,0,20.78
53,22.51,72.54,26.62,8.34,11.53,-3.2,52.38,69.77,19.43,heating,0,11.92
54,25.32,61.11,23.04,11.67,1.27,10.41,100.0,100.0,30.91,cooling,0,0.98
55,26.24,51.4,17.52,10.82,25.83,-15.01,37.33,54.91,10.43,heating,0,25.8
56,26.02,62.23,18.07,10.43,18.5,-8.07,37.33,54.91,10.15,heating,0,17.75
57,22.16,37.75,28.76,10.46,9.0,1.47,80.4,95.91,26.14,hold,0,8.27
58,23.32,58.13,24.73,11.19,16.25,-5.05,44.55,57.79,14.86,heating,0,15.86
59,24.71,60.63,23.81,8.3,6.58,1.72,76.77,91.81,22.74,hold,0,5.74
60,26.12,65.24,22.14,9.9,17.12,-7.22,37.33,54.91,14.25,heating,0,16.09
61,22.95,50.27,22.84,10.67,-10.41,21.09,100.0,100.0,30.16,cooling,0,-11.0
62,23.59,58.76,30.73,10.23,1.31,8.92,100.0,100.0,30.73,cooling,0,1.43
63,21.58,50.96,22.66,11.22,18.4,-7.18,37.33,54.91,12.17,heating,0,18.12
64,21.38,60.07,16.79,8.16,7.9,0.27,75.56,89.04,22.97,hold,0,8.1
65,25.76,51.19,28.96,10.65,11.8,-1.16,64.31,78.81,20.76,hold,0,11.53
66,26.95,54.95,23.42,10.02,-1.49,11.5,100.0,100.0,33.3,cooling,0,-2.3
67,23.83,50.41,24.8,9.39,25.83,-16.44,37.33,55.18,10.15,heating,0,26.05
68,26.18,63.13,34.01,9.24,20.21,-10.97,37.33,54.91,13.18,heating,0,20.06
69,24.78,64.73,24.5,10.37,8.31,2.05,83.45,100.0,26.38,cooling,0,8.29
70,22.58,56.29,26.31,11.45,6.57,4.88,95.47,100.0,29.95,cooling,0,5.4
71,24.78,58.4,17.74,9.86,18.83,-8.97,37.33,54.91,13.94,heating,0,19.1
72,27.34,46.92,23.34,11.19,26.98,-15.79,37.33,54.91,12.3,heating,0,27.15
73,23.91,55.79,28.18,9.49,18.18,-8.7,37.33,54.91,13.16,heating,0,18.07
74,27.4,57.71,15.54,8.28,28.6,-20.32,37.33,55.89,13.63,heating,0,27.8
75,18.28,78.33,25.79,8.12,2.14,5.97,100.0,100.0,29.99,cooling,0,1.44
76,25.78,49.52,25.21,8.08,3.02,5.05,97.72,100.0,30.91,cooling,0,2.81
77,24.18,69.4,24.86,9.4,-0.14,9.53,100.0,100.0,30.5,cooling,0,-0.53
78,23.34,65.8,30.68,9.23,13.81,-4.58,59.34,76.0,18.54,heating,0,13.7
79,24.19,60.27,26.57,10.76,11.53,-0.78,59.11,78.14,18.09,hold,0,11.7
80,,,,10.86,8.73,2.13,85.37,98.5,27.55,cooling,0,7.77
81,23.51,60.97,18.82,8.07,16.95,-8.87,37.33,54.91,12.36,heating,0,16.13
82,24.77,61.1,25.41,8.76,20.57,-11.81,37.33,54.91,12.99,heating,0,20.26
83,27.21,57.69,25.11,8.97,-3.01,11.99,100.0,100.0,30.96,cooling,0,-3.57
84,22.86,67.55,18.38,10.07,4.93,5.15,95.33,100.0,26.39,cooling,0,4.72
85,22.23,66.56,30.2,8.45,17.04,-8.59,37.33,54.91,12.26,heating,0,16.24
86,22.9,53.27,38.2,8.41,6.03,2.38,78.32,88.8,24.62,cooling,0,6.1
87,25.99,47.92,24.52,11.66,3.21,8.46,100.0,100.0,31.49,cooling,0,3.34
88,24.71,56.53,27.57,11.1,18.74,-7.64,37.33,54.91,11.01,heating,0,18.48
89,22.84,51.92,25.11,8.6,-1.0,9.59,100.0,100.0,28.61,cooling,0,-1.49
90,25.11,57.61,20.45,9.5,7.45,2.05,74.91,86.12,24.72,cooling,0,6.67
91,24.2,67.65,13.99,9.3,12.84,-3.54,53.93,69.91,16.63,heating,0,12.26
92,26.1,54.57,20.5,11.05,5.12,5.93,99.12,100.0,31.08,cooling,0,4.35
93,22.46,57.77,16.49,9.92,16.73,-6.8,37.33,54.91,11.64,heating,0,17.19
94,23.28,58.55,34.57,8.38,5.17,3.22,90.14,100.0,28.03,cooling,0,4.59
95,23.14,64.65,23.95,10.84,22.07,-11.23,37.33,55.88,11.3,heating,0,21.06
96,20.8,40.75,22.6,9.47,8.95,0.51,73.81,84.18,21.21,hold,0,8.58
97,24.64,53.42,29.81,8.93,15.77,-6.84,39.06,55.62,13.67,heating,0,15.97
98,24.56,59.73,18.07,9.38,16.41,-7.03,37.33,54.91,10.99,heating,0,16.19
99,24.0,67.36,20.14,9.87,4.66,5.21,100.0,100.0,31.33,cooling,0,4.79
100,23.48,54.3,25.02,9.25,-7.53,16.78,100.0,100.0,31.82,cooling,0,-7.52
101,20.9,43.61,30.63,8.84,13.11,-4.27,54.02,66.56,16.03,heating,0,12.21
102,23.07,62.88,27.55,9.47,10.65,-1.18,69.67,85.09,19.49,hold,0,9.92
103,23.24,53.2,26.07,7.95,14.78,-6.84,41.24,61.18,18.22,heating,0,14.65
104,22.24,48.92,25.08,10.98,8.09,2.88,81.11,98.69,24.28,cooling,0,6.73
105,23.64,53.28,26.96,8.56,6.35,2.21,80.2,93.67,26.31,cooling,0,6.06
106,24.87,56.68,25.8,8.05,27.2,-19.16,37.33,54.91,16.08,heating,0,25.9
107,28.1,53.43,18.6,10.5,-2.56,13.06,100.0,100.0,32.58,cooling,0,-2.43
108,24.37,41.07,24.89,10.98,16.31,-5.32,51.35,70.3,15.81,heating,0,16.41
109,24.55,65.03,18.35,11.14,5.12,6.02,100.0,100.0,30.87,cooling,0,4.76
110,23.83,67.94,25.09,9.85,7.16,2.69,84.89,98.92,24.8,cooling,0,6.31
111,19.81,63.13,21.81,8.7,7.32,1.38,74.0,92.96,24.96,hold,0,6.91
112,23.93,49.32,39.45,10.83,3.16,7.67,100.0,100.0,32.13,cooling,0,2.32
113,24.12,56.54,24.39,10.68,14.91,-4.23,45.82,65.3,13.72,heating,0,14.12
114,29.36,58.05,16.42,8.86,21.92,-13.06,37.33,54.91,10.15,heating,0,21.53
115,23.57,62.72,23.84,11.5,14.05,-2.55,60.63,72.19,16.55,heating,0,13.98
116,24.65,63.26,27.65,8.29,10.91,-2.62,57.69,71.95,20.28,heating,0,10.63
